,AUD,BRL,CAD,CHF,CLP,CNY,CZK,DKK,EUR,GBP,HKD,HUF,IDR,ILS,INR,JPY,KRW,MXN,NOK,NZD,PHP,PLN,RUB,SEK,SGD,THB,TRY,TWD,ZAR
1990-01-01,1.30206996379943,3.0213167073319216,1.0327956018712168,1.0038377176275064,739.6274872933282,7.4507817591369,,5.524979565179753,,0.6236521002801809,9.755735061249906,470.97629013798405,11429.208693871482,3.455072954125276,73.757378781856,81.81904118808046,912.1079266641761,18.04772843394806,6.205903107448117,1.511030331668985,54.027631939280425,11.965592617488186,,5.185060122301915,1.5060443206699232,29.209699512709687,5.240552043902769,20.43762284300171,8.576224918504328
1990-02-01,1.3376832856937557,2.8555732791725164,1.0530529071267034,0.9873220329577451,730.1909731783934,7.376041576483522,,5.460407816376716,,0.6043383335486455,9.712529388712989,462.27438558410915,11405.754087174506,3.445130530211766,73.84198072867095,82.36184798615079,919.2852530345308,17.92862635298612,6.147797594040911,1.5381551734872818,54.41442378851091,9.777849837074134,,5.131624237712344,1.489231648784878,29.051948478334545,5.1486059937949396,20.595778445250613,8.514421837430856
1990-03-01,1.3466780031380492,2.5083068882896926,1.0400212086968232,1.0051389003280327,727.1705116012224,7.412683562646474,,5.5230618862296215,,0.631838122286105,9.659851292132863,467.6147754597297,11581.619211046409,3.5484521490978156,73.91634919077966,86.81847032786622,925.3604872402832,17.908249590341423,6.22046843405331,1.5586573647518864,54.78366195473576,9.453193600671137,,5.067697694930656,1.513317779216802,29.32519074442072,5.0771214314216415,20.738087132479258,8.666657789292621
1990-04-01,1.3288348253889914,2.762421272945863,1.0275438284634537,0.9887507838528738,714.9864127346793,7.400527590335662,,5.454660387009522,,0.6132322889154623,9.549180581996254,455.9102865897913,11502.915094608976,3.457566260392673,73.4777169634498,89.22283369861309,927.294803003249,17.866571616127146,6.193544484155566,1.5707953966890253,54.36899545459319,8.791607110597214,,5.019691514165835,1.5083332518109964,29.2541371597634,4.859874036850826,20.5746126702167,8.732238017418288
1990-05-01,1.3306012099374664,2.806743762621268,1.0340786096040802,0.9397196613682433,707.2261936181148,7.3899775280521,,5.340231493165272,,0.5929117749996984,9.457878535876592,451.5188595085109,11470.899044945263,3.4274802929172203,73.00800255536319,86.25745058085481,923.3515571975889,17.79428052772299,6.097067058024605,1.5844442314556657,54.45817223753233,8.411519998756027,,4.948143840194254,1.4913052811592455,29.00163477164708,4.816501002357696,20.88305481549345,8.632856718989114
1990-06-01,1.304228777170921,2.761252509768325,1.0341461289232396,0.9485551641003866,695.3726313063365,7.493551707202935,,5.443115219054824,,0.5836657167543767,9.423690542302941,457.871713013651,11440.85253517149,3.494746862081469,72.67603308302655,87.15238837856555,931.7344315451506,17.67513685220163,6.136618053910685,1.5628541596976666,54.73457291217546,8.178288237596977,,5.0118021734413,1.4875259259045934,29.039854770679213,4.918355914966991,21.02446290732853,8.682838570148178
1990-07-01,1.2806948392323667,2.858985896362449,1.0200634910018478,0.9305684488521548,686.316057491731,7.700368841216573,,5.340183648118267,,0.5538821077343252,9.402510366180731,438.6921253436019,11269.813308814788,3.4543496594262804,71.35028322400055,85.12032819532683,933.3226991956643,17.57664981123471,5.988911081563546,1.5387579657382824,55.29183074577537,7.947752811696968,,4.868563180692302,1.4719806545787621,28.89928278826621,5.051167499419401,21.16454952810404,8.53416262876394
1990-08-01,1.2620625295559105,2.7574329088208103,1.0171271756722358,0.872186593466727,694.4565059763212,7.680783605656773,,5.131436173389809,,0.5273676652583436,9.449787436523453,422.1416428963377,11356.724656506398,3.3755229159975166,71.46749559557595,84.4612253837941,937.5522755874739,17.593783764678587,5.843887266365713,1.4931840700995223,57.76589465677684,7.8537902155567885,,4.734304746311297,1.457135271184253,28.976117467581844,4.999269947037126,21.108380179105378,8.300485503557425
1990-09-01,1.2424859339575702,2.5584352508400383,1.035291725410012,0.874514346730597,678.4024556725515,7.639550251152351,,5.122740420346815,,0.5321113126158674,9.359319469156201,418.13308327980104,11426.655867376252,3.361784213907114,73.71727193357371,79.6854237692506,939.1674252942888,17.641469022454448,5.8242250849879165,1.4798491732561594,59.740037294354885,7.602659902281225,,4.714588780201496,1.4374816386287295,28.83463016637821,4.70429710146854,20.579254977566464,8.226354014675348
1990-10-01,1.280178973225083,2.8353401319295206,1.0338382980995762,0.8575973945917844,666.2275148992323,7.719314416226054,,4.993331826125831,,0.5128349133049315,9.344657951314082,408.5411002477744,11413.214828792577,3.277108694125972,73.38028280229541,74.0194561715187,942.1323444234356,17.6444141474454,5.664087008214815,1.5046215511441814,59.85989746342256,7.21555957931177,,4.611537215133172,1.4039465423907564,28.18893266330824,4.468671507456824,21.14835531336042,8.132948823781506
